publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE,total_usd_disbursement,usd_extended_defl,Status
NA,21,Ireland,99,MISC,MISC,Miscellaneous,7.9769676,118.8135768,non-iati
NA,976,Islamic Development Bank [IsDB],1,IsDB,NULL,NULL,1762.587265,NA,non-iati
NA,6,Italy,4,DGCS,DGCS,Direzione Generale per la Cooperazione allo Sviluppo,365.5444964,116.5719187,non-iati
NA,6,Italy,7,CA,CA,Central administration,989.1389769,2512.009632,non-iati
NA,6,Italy,8,LA,LA,Local administration,15.91435766,NA,non-iati
NA,6,Italy,9,Art.,Art.,Artigiancassa,75.61297002,NA,non-iati
NA,6,Italy,10,NULL,NULL,NULL,93.41065429,NA,non-iati
NA,6,Italy,11,NULL,NULL,NULL,15.05868864,NA,non-iati
NA,701,Japan,1,MAFF,MAFF,"Ministry of Agriculture, Forestry and Fisheries",27.5189352,0.2288909,non-iati
Japan - Japan International Cooperation Agency (JICA),701,Japan,2,MOFA,MOFA,Ministry of Foreign Affairs,2755.511,899.8359321,checked
Japan - Japan International Cooperation Agency (JICA),701,Japan,8,JICA,JICA,Japanese International Co-operation Agency,9026.413779,0,checked
NA,701,Japan,10,JODC,JODC,Japan Overseas Development Co-operation,NULL,NA,non-iati
NA,701,Japan,11,JBIC,JBIC,Japan Bank for International Co-operation,NULL,NA,non-iati
NA,701,Japan,12,Oth. MIN,Oth. MIN,Other Ministries,637.773685,2571.456942,non-iati
NA,701,Japan,13,PC,PC,Public Corporations,2.66341659,1.249291107,non-iati
NA,701,Japan,14,PRF,PRF,Prefectures,2.696955765,NA,non-iati
NA,701,Japan,15,ODC,ODC,Ordinance-designed Cities,0.30613866,NA,non-iati
NA,613,Kazakhstan,1,MFA,NULL,NULL,5.2468587,NA,non-iati
NA,613,Kazakhstan,2,GOV,NULL,NULL,4.33612,NA,non-iati
NA,613,Kazakhstan,3,EDUC,NULL,NULL,11,NA,non-iati
NA,613,Kazakhstan,4,NULL,NULL,NULL,6.5,NA,non-iati
