"","donor_code","donornameE","agency_code","crs_agency_name","loc_agency_acronym","agencynameE","total_usd_disbursement","usd_extended_defl"
"237",8,"Norway",12,"ENV","ENV","Ministry of Climate and Environment","116.351789",NA
"238",8,"Norway",99,"MISC","MISC","Miscellaneous","NULL",NA
"239",951,"OPEC Fund for International Development [OFID]",1,"OFID","NULL","NULL","1148.289426",NA
"240",978,"OSCE",1,"OSCE","NULL","NULL","130.509138",NA
"241",76,"Poland",1,"MFA","MFA","Ministry of Foreign Affairs","30.11630798",69.524826029
"242",76,"Poland",2,"MSHE","MSHE","Ministry of Science and Higher Education","27.24621838",NA
"243",76,"Poland",3,"INT","MI","Ministry of the Interior","1.807899057",NA
"244",76,"Poland",4,"MCNH","MCNH","Ministry of Culture and National Heritage","2.921231497",0.00111
"245",76,"Poland",5,"FIN","MF","Ministry of Finance","38.342044",285.435283116
"246",76,"Poland",6,"ENV","ME","Ministry of the Environment","0.403672",2.665746533
"247",76,"Poland",99,"MISC","MISC","Miscellaneous","2.71450939",7.755548982
"248",9,"Portugal",1,"GP","GP","Portuguese Government","259.4442334",182.230856587
"249",9,"Portugal",2,"CICL","IPAD","Institute for Portuguese Development Aid","24.63296955",NA
"250",9,"Portugal",3,"MUNIC","MUNIC","Municipalities","0.056803816",NA
"251",9,"Portugal",4,"SOFID Society for Development Financ","SOFID Society for Development Financing","SOFID Sociedade para o Financiamento do Desenvolvimento","2.680112",NA
"252",9,"Portugal",99,"MISC","MISC","Miscellaneous","6.48150041",NA
"253",77,"Romania",1,"MFA","NULL","NULL","13.75804481",NA
"254",77,"Romania",3,"NULL","NULL","NULL","0.00522412",NA
"255",77,"Romania",4,"DEF","NULL","NULL","0.000895588",NA
"256",77,"Romania",6,"NULL","NULL","NULL","0.000852059",NA
"257",77,"Romania",12,"NULL","NULL","NULL","0.004046346",NA
"258",77,"Romania",13,"NULL","NULL","NULL","0.029828234",NA
"259",77,"Romania",14,"JUSTICE","NULL","NULL","0.001055035",NA
"260",77,"Romania",16,"NULL","NULL","NULL","29.91294",NA
"261",77,"Romania",18,"NULL","NULL","NULL","0.000819432",NA
"262",77,"Romania",20,"INT","NULL","NULL","1.159223399",NA
"263",77,"Romania",21,"AGRI","NULL","NULL","0.00741476",NA
"264",77,"Romania",22,"MoH","NULL","NULL","0.6332049",NA
"265",77,"Romania",26,"NULL","NULL","NULL","0.213053496",NA
"266",77,"Romania",28,"EDUC","NULL","NULL","22.9847278",NA
"267",77,"Romania",29,"NULL","NULL","NULL","0.0115247",NA
"268",77,"Romania",31,"GOV","NULL","NULL","1.12161",NA
"269",69,"Slovak Republic",1,"MZVaEZ","NULL","NULL","2.02069",NA
"270",69,"Slovak Republic",2,"SAMRS","NULL","NULL","5.12262",NA
"271",69,"Slovak Republic",3,"FIN","NULL","NULL","3.43108",NA
"272",69,"Slovak Republic",4,"MSVVS","NULL","NULL","3.11798",NA
"273",69,"Slovak Republic",5,"INT","NULL","NULL","2.57795",NA
"274",69,"Slovak Republic",18,"NULL","NULL","NULL","0.09554",NA
"275",61,"Slovenia",1,"FIN","FIN","Ministry of finance","1.356918502",NA
"276",61,"Slovenia",2,"MFA","MFA","Ministry of foreign affairs","7.160688576",9.462811361
"277",61,"Slovenia",3,"INT","INT","Ministry of interior","3.3426432",NA
"278",61,"Slovenia",4,"DEF","DEF","Ministry of Defence","1.8574268",0.074539527
"279",61,"Slovenia",99,"MISC","MISC","Misc.","6.494778719",NA
"280",50,"Spain",4,"AGR","AGR","Ministry of Agriculture, Fisheries, and Food","1.57651415",0.263908044
"281",50,"Spain",5,"MFA","MFA","Ministry of Foreign Affairs and Co-operation","99.97358878",98.198223564
"282",50,"Spain",6,"ECON","ECON","Ministry of Economy and Competitiveness","3.300621694",288.740153873
"283",50,"Spain",7,"EDUC","EDUC","Ministry of Education, Culture and Sports","1.86893222",0.198953308
"284",50,"Spain",8,"MPW","MPW","Ministry of Public Works","0.531924156",0.165246335
"285",50,"Spain",9,"MIE","MIE","Ministry of Industry and Energy","0.381871998",0.455523495
"286",50,"Spain",11,"MOH","MOH","Ministry of Health","0.55756002",NA
"287",50,"Spain",12,"EMP","EMP","Ministry of Labour and Social Affairs","21.05235942",NA
"288",50,"Spain",13,"INT","INT","Ministry of Interior","1.06392367",NA
"289",50,"Spain",14,"MPA","MPA","Ministry of Public Administration","0.22110593",1024.39276
"290",50,"Spain",15,"AG","AG","Autonomous Governments","144.4746041",NA
"291",50,"Spain",16,"MUNIC","MUNIC","Municipalities","71.9153891",NA
"292",50,"Spain",19,"DEF","DEF","Ministry of Defence","14.89315198",NA
"293",50,"Spain",20,"UNIV","UNIV","Public Universities","13.29964226",NA
"294",50,"Spain",21,"AECID","AECID","Spanish Agency for International Development Co-operation","333.9554234",NA
"295",50,"Spain",22,"NULL","Oth. Min.","Others ministries","0.2122489",NA
"296",10,"Sweden",2,"MFA","MFA","Ministry of Foreign Affairs","1324.268781",1921.848197755
"297",10,"Sweden",6,"Sida","Sida","Swedish International Development Authority","2936.426182",43.044184284
"298",10,"Sweden",11,"ENV","NULL","NULL","3.0764672",NA
"299",10,"Sweden",20,"NULL","NULL","NULL","25.69745223",NA
"300",10,"Sweden",21,"NULL","NULL","NULL","4.11901",NA
"301",10,"Sweden",22,"NULL","NULL","NULL","23.9037141",NA
"302",10,"Sweden",23,"NULL","NULL","NULL","21.78990606",NA
"303",10,"Sweden",24,"NULL","NULL","NULL","35.1361053",NA
"304",10,"Sweden",25,"NULL","NULL","NULL","3.2799329",NA
"305",10,"Sweden",27,"NULL","NULL","NULL","5.798129",NA
"306",10,"Sweden",28,"NULL","NULL","NULL","1.902364",NA
"307",10,"Sweden",29,"NULL","NULL","NULL","25.70708473",NA
"308",10,"Sweden",30,"NULL","NULL","NULL","2.41421294",NA
"309",10,"Sweden",31,"NULL","NULL","NULL","0.262394",NA
"310",10,"Sweden",32,"NULL","NULL","NULL","0.2674967",NA
"311",10,"Sweden",36,"SwedFund","NULL","NULL","50.6685434",NA
"312",10,"Sweden",37,"NULL","NULL","NULL","0.40088",NA
"313",10,"Sweden",38,"NULL","NULL","NULL","0.523477",NA
"314",11,"Switzerland",1,"FA","FA","Federal Administration (various departments)","568.3268806",65.504241987
"315",11,"Switzerland",4,"SDC","SDC","Swiss Agency for Development and Co-operation","1655.410561",627.066732545
"316",11,"Switzerland",5,"Seco","Seco","State Secretariat for Economic Affairs","477.3280391",4.13296442
"317",11,"Switzerland",6,"DFA","DFA","Federal Department of Foreign Affairs","124.0955225",35.785850883
"318",11,"Switzerland",11,"MUNIC","MUNIC","Municipalities","56.08825711",NA
